"station","X","Y","Longterm","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30","m31","m32","m33","m34","m35","m36","m37","m38","m39","m40","m41","m42","m43","m44","m45","m46","m47","m48","m49","m50","m51","m52","m53","m54","m55","m56","m57","m58","m59","m60","m61","m62","m63","m64","m65","m66","m67","m68","m69","m70","m71","m72","m73","m74","m75","m76","m77","m78","m79","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79"
"oroomieh",45.083333,37.533333,43.652778,76.806387,47.448356,82.456232,45.422561,55.178500,42.991906,41.128532,39.468454,47.801752,40.579545,59.702492,53.356491,28.771170,22.591385,37.948570,52.143258,40.501737,34.658668,38.007550,30.481268,54.271323,35.004134,41.822135,51.050199,53.564721,46.785424,35.747104,78.234967,31.888815,37.358341,32.612546,30.387470,87.077799,30.066373,44.024639,54.358455,48.121135,58.962505,40.881808,52.796695,50.428427,35.759234,31.882475,36.488984,0.627040,45.942385,34.476737,46.729810,53.746238,43.397018,27.544012,44.528875,24.189647,52.584064,41.900330,47.442523,66.160729,61.116659,41.581738,36.431085,45.035190,25.000057,54.088702,43.314676,59.650809,23.272854,60.931681,51.442601,58.876906,41.875363,30.838247,44.302861,40.784253,87.180446,48.235104,52.119483,44.063470,22.025449,230.419161,76.493733,47.713203,82.350466,45.719107,55.230814,42.972866,41.347053,39.741166,47.961582,40.895675,59.778508,53.440621,29.400869,23.141667,38.373775,52.126910,40.643844,34.896898,38.304284,30.746627,54.458514,35.249246,41.977034,51.128324,53.586994,47.004047,36.065397,78.018395,32.491780,37.774057,33.156871,30.996385,86.579841,30.678500,44.182570,54.336646,48.446523,59.341584,41.177190,52.975974,50.486876,36.178190,32.300268,36.813438,1.360314,46.007993,34.938593,46.850172,53.949736,43.558042,27.982862,45.228550,24.946572,52.642580,42.118869,47.596558,65.960607,61.125988,41.741727,36.571084,45.156448,25.517225,54.346281,43.566410,59.854241,23.944644,60.888626,51.524486,58.898856,42.004110,31.109821,44.147989,41.026626,86.580314,48.524212,52.292066,44.265930,22.597426,229.481195
"piranshahr",45.133333,36.666667,112.290625,130.874219,120.731399,88.686937,123.398202,154.370841,25.348968,100.654655,104.057294,138.972540,142.973498,85.501251,98.574288,116.117939,113.187267,106.405665,80.498458,83.260082,42.733065,94.556969,50.437825,126.235700,107.922452,94.107625,93.803283,57.373744,88.020254,114.873147,107.069137,140.037939,117.639883,122.878616,157.136634,104.137058,149.327899,106.260286,86.982035,122.678838,192.469867,128.823365,122.352238,99.365425,106.765447,121.452125,104.277088,88.152248,110.959032,105.276400,108.613859,136.247017,99.399692,110.892863,255.984927,147.105917,97.894797,128.768092,121.936723,100.000696,112.379712,101.777673,74.212507,107.246440,123.597365,161.949416,111.639991,155.812740,137.604804,120.198987,136.138898,109.083551,76.640563,98.129332,9.238802,85.797098,89.031292,127.669726,132.534943,85.051282,103.211022,392.622656,130.000125,120.137137,88.815671,122.851599,152.925687,25.825975,100.190083,103.466773,137.852503,141.847198,85.500075,98.228342,115.719260,112.578468,106.329436,80.288355,82.956198,43.102531,94.203689,50.720256,125.527839,107.188996,93.685671,93.417778,57.655355,87.741194,114.128564,106.734420,139.052736,117.153500,122.163214,155.980234,103.560918,148.170199,105.676536,86.610419,122.130435,191.152198,127.774421,121.796426,98.878511,106.348570,120.760217,103.678927,87.565461,110.157271,104.910311,107.977315,135.448900,98.943219,110.339795,253.648134,146.304872,97.542174,127.758112,121.169467,99.598744,111.931736,101.099262,73.845186,106.527255,122.874631,160.855591,111.092784,154.789478,136.601562,119.416993,135.093313,108.587285,76.436757,97.424089,9.810430,85.545333,88.601861,126.951381,131.685229,84.841736,102.738258,390.000388
"takab",47.116667,36.383333,46.471875,45.289144,45.573867,76.571713,57.075443,47.754805,29.499108,47.870977,33.928387,41.443727,42.701055,36.352423,38.562453,59.813503,44.440170,41.120355,44.796953,51.534023,54.691940,45.240417,35.394160,57.234966,37.020061,34.349589,23.571850,52.060079,31.308840,31.525400,52.755211,54.126762,51.013032,55.592228,64.887056,51.153375,61.968392,41.048256,51.000501,51.215039,42.252083,42.330966,51.877845,39.545110,42.527925,41.447157,55.614489,21.527257,41.074764,36.178744,47.751305,42.572121,49.322690,40.686461,47.200908,56.571421,37.475886,16.140798,41.622037,41.410640,39.240702,40.041735,42.763482,30.024162,53.044872,36.806812,51.933169,56.016159,69.705181,48.690782,52.996309,44.027795,16.101391,39.809684,38.445245,46.681572,30.921754,63.668538,52.280490,55.994686,50.562550,135.867431,45.256889,46.165965,76.479455,57.324793,47.870182,29.822671,47.922475,34.245991,41.645020,43.014128,37.074307,38.837452,60.089527,44.699979,41.700214,44.911551,51.601265,54.659484,45.517248,35.868413,57.283877,37.224174,34.795775,24.143451,52.072295,31.883137,32.031172,53.154239,54.475395,51.186295,55.795538,64.997065,51.352465,61.955639,41.243375,51.004565,51.622965,42.853183,42.462455,52.149431,39.866933,42.884250,41.826624,55.705938,21.957169,41.281855,36.904860,47.861619,43.027811,49.425190,40.916993,47.557875,56.744938,37.839469,17.021052,41.833145,41.654666,39.773948,40.395729,42.878832,30.516232,52.982249,37.338747,52.080559,56.298307,69.948264,48.737170,52.969085,44.360484,16.659370,39.847536,38.342906,46.970539,31.222967,63.737695,52.600375,56.155745,50.783614,135.770672
"khoy",44.966667,38.550000,29.918750,34.293622,34.639681,56.061832,28.871448,45.569047,12.984408,24.510757,45.660821,35.322767,35.879722,41.628832,29.697382,40.711626,29.059642,32.220269,33.864388,17.457064,28.289317,8.094308,14.031445,26.155133,24.252765,33.138484,26.312309,48.717758,12.472246,20.250597,26.676846,24.725121,26.283075,52.780033,25.531129,28.944031,51.397723,22.327260,32.226819,39.439431,23.450297,27.550398,28.616562,21.369672,38.217402,3.221811,34.531528,31.844754,23.621930,24.381380,25.926279,22.084072,22.342032,17.321628,27.111838,19.916921,39.794484,21.547647,35.452851,0.000000,27.561737,18.956199,21.717080,35.510734,20.451141,37.805783,25.308537,34.577435,34.361419,35.952605,29.608491,37.235876,32.005461,32.975341,22.953586,10.041420,9.466765,40.637345,46.595610,27.874285,36.409770,102.880865,34.416235,34.784283,56.143351,29.058608,45.538306,13.308717,24.715287,45.612641,35.411014,35.982192,41.712510,29.902839,40.794912,29.164847,32.378739,33.947770,17.725825,28.456818,8.551012,14.331615,26.413213,24.397894,33.199877,26.537505,48.682540,12.913970,20.516328,27.035220,25.030481,26.515463,52.705860,25.801653,29.226282,51.334263,22.574041,32.368433,39.575667,24.006618,27.765622,28.857474,21.635552,38.292278,3.741218,34.643185,31.848314,23.824845,24.598085,26.134695,22.405218,22.571658,17.588074,27.502148,20.253399,39.851186,21.806145,35.567999,0.582448,27.812886,19.228472,21.909235,35.559225,20.679966,37.933853,25.548753,34.817214,34.520192,36.071481,29.789351,37.331390,32.142932,33.004903,23.100735,10.476273,9.933367,40.726140,46.613774,28.066612,36.448376,103.248705
"sardasht",45.500000,36.150000,131.950000,113.285496,157.257092,185.354280,198.982817,69.862146,103.553918,125.395583,98.525287,94.860240,108.687530,167.589201,151.158807,191.384639,148.432483,305.368145,134.190553,127.311743,142.586636,124.527106,159.005908,98.583558,96.926249,124.161765,116.939122,160.638596,83.363695,98.290864,140.881104,104.509660,196.896355,147.779688,169.413206,102.448354,118.321855,146.327353,99.448299,166.805073,220.888336,39.153823,187.972088,108.504491,167.647256,171.003340,92.543765,101.252650,110.300127,165.870097,112.826835,130.820340,126.333354,178.047064,215.337083,224.398749,160.771190,110.957011,149.373643,137.859759,177.781037,64.179880,66.220214,84.725391,182.621803,183.372834,141.399950,146.563229,150.350005,114.826327,137.031232,143.084303,114.620126,71.343908,76.751270,120.583553,86.407007,140.509879,157.177661,125.188218,141.518350,339.856490,112.709779,156.126832,183.870610,197.203468,69.887965,102.731720,124.564415,98.066400,94.495245,108.245709,166.307630,149.946398,189.849396,147.258591,301.983869,133.093161,126.305655,141.354620,123.723043,157.549815,98.388954,96.409086,123.252975,116.216494,159.181259,83.355840,97.915554,140.076942,104.305009,195.141242,146.753619,168.165070,101.806345,117.742239,145.054115,98.941150,165.654761,219.188733,39.750674,186.346404,107.883866,166.273974,169.539416,92.251362,100.516974,109.580823,164.575537,112.152663,130.159983,125.449150,176.383761,213.685906,222.420758,159.441791,110.327699,148.198550,136.877075,176.249640,64.255173,66.030248,84.447950,180.959681,181.947202,140.412344,145.759218,149.222702,114.131695,136.023797,142.030182,113.817574,71.058415,76.192442,119.879649,86.010993,139.656850,156.014925,124.421310,140.496592,338.129341
"makoo",44.433333,39.333333,28.700000,26.086137,18.311119,37.526677,24.440580,27.074672,35.516621,22.590367,25.240928,25.104307,24.716156,7.447225,34.099824,41.520040,14.438709,26.807021,18.852216,20.977400,27.974314,28.825374,23.477080,16.049117,15.614747,16.586906,42.816567,48.313404,20.757305,27.597941,48.330485,14.257772,25.670476,28.619307,19.397594,62.253398,36.055079,24.009355,37.848486,37.350511,147.760165,34.426952,28.474842,19.473966,34.205526,34.816747,38.802202,17.630210,22.887769,17.455667,39.677742,19.161565,25.044578,20.904838,46.803335,24.117414,34.297247,21.563172,29.639124,29.893090,26.922064,16.541680,28.172683,21.807228,9.909878,28.908378,29.750040,32.354386,57.430714,25.438293,18.195405,17.654708,48.920400,13.128312,22.163579,21.299245,12.434946,27.980882,38.985927,20.103765,22.241107,78.258412,26.161264,18.441671,37.651445,24.531382,27.156042,35.520119,22.664060,25.324571,25.177888,24.805162,7.632416,34.148977,41.558555,14.543797,26.888422,18.948949,21.044827,28.030529,28.880915,23.527242,16.173084,15.700510,16.684942,42.820862,48.314777,20.863437,27.651222,48.343676,14.409311,25.750565,28.720927,19.516912,62.197757,36.123515,24.075659,37.879999,37.416095,147.397074,34.473055,28.552756,19.564041,34.259421,34.836738,38.828810,17.702868,22.954716,17.563249,39.685371,19.276564,25.105852,20.974268,46.840262,24.208567,34.350122,21.648822,29.701920,29.931170,27.002363,16.642526,28.212306,21.889948,10.027196,28.993364,29.807599,32.437585,57.395979,25.525313,18.297292,17.771721,48.888045,13.230548,22.210675,21.386215,12.553287,28.076383,39.038231,20.201144,22.324823,78.483789
"mahabad",45.716667,36.766667,62.296970,73.745394,63.007019,69.777052,64.030905,36.198760,59.412683,70.642111,68.111869,64.996735,47.278066,61.692150,63.090514,75.389329,77.662808,55.269733,52.142834,48.075893,55.839055,61.682257,57.874859,104.960466,58.550156,65.206319,56.697307,75.600429,49.677570,63.276643,71.231623,42.348509,64.232065,39.783996,35.970210,52.888992,54.728038,51.263724,37.428030,59.145804,76.917391,55.858601,66.354147,69.384481,61.910266,49.601386,55.900042,31.548937,20.155787,63.391248,62.654114,90.849162,68.962073,57.853035,64.318482,61.642664,43.938686,22.939030,45.185767,59.696632,62.167650,38.439446,40.431377,49.537611,54.526898,76.792799,70.059857,85.717701,20.690489,54.929046,29.713116,68.417866,66.558635,57.176076,54.959687,43.455300,39.991948,64.302736,32.024910,55.860103,65.035141,221.236183,73.738840,63.286055,70.127053,64.376818,36.748223,59.226589,70.593062,68.056074,65.057947,47.759057,62.052967,63.267839,75.571053,77.531136,55.906291,52.351039,48.324845,55.943090,61.816774,57.961608,104.510985,58.573609,65.180322,56.885481,75.455258,50.058708,63.357135,71.453315,43.047919,64.548829,40.469232,36.840740,53.116199,55.137880,51.540137,37.891670,59.625216,77.426184,56.049501,66.640940,69.317195,62.166122,50.058708,56.087196,31.914782,20.915987,63.691830,62.726949,90.704353,68.938353,58.097896,65.122914,62.201777,44.436924,23.736520,45.636806,59.909602,62.484123,38.837645,40.624807,49.784959,54.894867,77.020556,70.133035,85.773404,21.722979,55.194674,30.439604,68.536295,66.444443,57.085857,54.712350,43.948224,40.382677,64.600628,32.852555,56.129031,65.136810,221.216520
"ahar",47.066667,38.433333,31.956250,32.932855,27.839884,35.583681,25.545529,39.522983,40.713310,31.139668,28.789327,28.421324,43.964277,31.032237,31.032099,32.908824,42.174594,29.874246,24.039291,63.708719,35.407007,44.052585,17.838357,28.378613,24.577954,16.474373,20.065627,37.058882,34.322710,32.665273,31.368827,29.498214,25.523350,44.444008,28.868139,28.624023,34.076502,39.991758,22.482765,38.261370,31.278388,28.481133,48.063520,23.459464,38.010886,29.183897,33.111035,31.333693,19.575830,22.762346,47.501660,31.588537,27.121126,26.920930,45.918325,26.220113,33.891774,29.233106,26.308527,36.636357,29.751131,26.809380,31.013959,31.497861,31.305026,42.739966,33.677165,35.167916,30.126513,28.068883,25.385419,31.959056,21.833563,20.579855,34.448763,33.756717,37.376154,41.229925,39.542525,24.355156,30.590232,98.798564,32.970411,28.050637,35.841744,25.783008,39.556872,40.673782,31.248323,28.947691,28.595971,43.960186,31.280638,31.195220,33.012361,42.125950,30.026991,24.231166,63.414475,35.482703,44.048148,18.036262,28.570685,24.722980,16.754701,20.340483,37.136061,34.469868,32.758866,31.551348,29.702394,25.720043,44.491309,29.132668,28.850334,34.207345,40.016632,22.706378,38.376736,31.503334,28.660670,48.037489,23.694633,38.102271,29.327849,33.222905,31.421284,19.778978,23.018049,47.407845,31.741059,27.264143,27.024379,46.005494,26.441335,33.987878,29.429519,26.517367,36.700476,29.915551,26.954795,31.119269,31.596043,31.339177,42.776951,33.761106,35.318156,30.316055,28.265287,25.560213,32.082371,22.032971,20.758319,34.463774,33.893770,37.453554,41.302570,39.606052,24.587839,30.693367,98.911233
"tabriz",46.283333,38.083333,30.091667,17.353727,28.450203,55.092707,23.792376,31.865324,33.573830,30.233348,31.513991,30.837285,14.878161,29.924886,36.591086,24.609237,14.137378,12.634199,16.685593,36.532503,28.397051,27.749313,23.325550,48.026969,31.614195,22.421251,33.282113,22.111421,33.404240,26.830012,32.524743,32.474771,33.643034,39.338111,27.700220,55.231823,22.241370,30.433540,24.872569,35.910814,26.961188,30.962196,26.717804,27.909528,29.783047,34.343657,23.424721,33.837057,29.471227,25.819867,19.512452,18.920592,24.613961,13.599881,43.409081,39.684422,20.607467,32.082445,42.517582,50.351624,25.831980,22.676562,27.347472,23.978489,29.625674,24.021711,34.291723,41.291502,36.709617,38.652463,31.859423,31.143513,34.930044,33.788815,36.218438,31.082803,38.219164,34.804203,20.464197,32.700675,24.655158,52.061181,17.912072,28.776737,55.306458,24.167433,32.088592,33.886200,30.247924,31.568778,31.054758,15.473117,30.185084,36.456118,25.132299,14.995798,13.442222,17.538122,36.400298,28.746426,27.889392,23.537152,47.757294,31.582283,22.590609,33.816610,22.562910,34.120438,26.904464,32.939589,32.935190,33.693394,39.394356,27.955722,54.842532,23.083740,30.911007,25.553696,35.896238,27.980669,31.324550,27.350600,28.434142,30.205135,34.135774,23.900222,33.944063,29.636725,26.595122,20.104006,19.847477,24.855979,14.319935,43.749684,39.604455,21.043088,32.035933,42.180602,49.652296,26.710313,23.144985,27.449858,24.372391,29.593525,24.773098,34.141209,41.441927,36.907183,38.807801,31.941229,31.747293,34.869527,33.610763,35.693981,31.629807,38.715703,34.886290,21.311173,32.832215,24.943649,53.736217
"jolfa",45.666667,38.750000,23.036364,19.137816,18.637909,22.848115,9.679265,19.461252,17.687604,24.079854,27.819353,26.214934,30.651185,23.931827,22.149540,23.212343,21.671834,24.397581,23.399281,19.759058,31.601069,20.369781,28.866148,18.791081,18.421095,23.214399,12.320077,27.458193,16.064890,24.197071,29.132759,23.995398,22.784690,22.533050,26.042342,10.497807,20.088320,26.854325,13.867936,20.062348,19.806480,18.766000,24.078800,24.472226,17.393283,27.649820,23.471095,25.932369,24.122883,5.850286,22.155331,22.199316,23.158468,24.341855,24.541388,21.070080,22.900426,21.186056,31.558927,22.465607,23.332188,22.321614,16.346491,20.087324,28.426363,19.184550,25.918149,31.841752,15.650560,21.213939,36.146969,22.360598,34.621608,25.199685,29.452584,22.177062,23.992639,19.699039,25.206524,22.913564,25.746360,57.413449,19.351865,18.907116,23.257764,10.008385,19.710129,17.876301,24.222525,27.969205,26.366394,30.758215,24.179489,22.366832,23.440288,21.826486,24.570314,23.559644,19.939074,31.685245,20.563523,28.910962,19.063094,18.590575,23.353221,12.625794,27.633868,16.356237,24.335704,29.328968,24.231327,22.981282,22.812033,26.228605,10.884472,20.371856,26.984044,14.153436,20.355074,20.161745,19.009554,24.290639,24.626245,17.668360,27.749871,23.656325,26.024118,24.255159,6.218759,22.326418,22.412353,23.301246,24.444422,24.836379,21.302440,23.099092,21.372855,31.673243,22.637556,23.544192,22.474622,16.544367,20.280926,28.503816,19.460513,26.072290,32.028179,15.959842,21.453281,36.190120,22.585756,34.672371,25.308234,29.488659,22.366526,24.173016,19.981559,25.423757,23.105122,25.884361,58.055595
"sarab",47.533333,37.933333,23.390323,21.337689,23.757276,23.981090,21.651454,34.211187,23.397812,43.538345,27.019271,22.436082,20.635880,24.925130,22.115053,21.231334,10.906479,20.180506,24.945518,22.354664,24.688536,24.662845,21.908610,28.151050,24.554607,26.479617,19.028773,34.390739,25.737672,24.601435,28.123624,26.950249,20.236542,34.538032,65.808987,21.412166,27.176844,31.656380,25.435092,25.010717,25.887833,15.330007,29.767107,26.980469,21.979530,23.395785,19.151050,27.006610,20.827564,31.668663,15.524251,23.631574,21.352846,15.330822,30.381556,26.560289,17.853541,22.645388,30.174121,22.624444,30.926300,15.796134,24.087914,24.001276,21.125753,16.050514,5.633715,17.523924,15.611995,22.105448,20.402270,15.999407,30.095110,25.639165,22.372241,27.143660,18.414823,23.163389,25.472246,24.732002,17.999083,64.013066,21.670356,24.277752,24.670198,22.221701,34.392084,23.731830,43.397853,27.368301,22.919039,21.205787,25.554131,22.599976,21.659717,11.585817,20.708694,25.349510,22.789036,25.103270,25.118121,22.206944,28.458942,24.838143,26.816296,19.559025,34.674728,26.183300,24.976179,28.529179,27.390398,20.712507,34.842182,65.412154,22.007681,27.608137,31.883804,25.761731,25.550568,26.427017,16.001917,30.171035,27.375189,22.580523,23.804668,19.713923,27.301488,21.166221,31.930632,16.171913,24.129185,21.777063,15.801269,30.879730,26.937734,18.411581,23.172849,30.510686,23.057942,31.171451,16.372119,24.494697,24.360994,21.394596,16.819700,6.467700,18.199710,16.272626,22.611173,20.850761,16.600822,30.280663,25.853659,22.678798,27.554656,19.018363,23.714697,25.947330,25.188328,18.508370,65.011065
"sahand",46.116667,37.933333,27.438710,19.411854,28.369259,57.284757,22.508578,31.610094,41.009369,22.613226,24.933802,30.274786,16.440785,21.880463,23.639599,28.622660,27.489595,19.582482,29.675814,27.569973,30.524897,20.421471,21.468726,36.361780,26.449604,17.376566,44.472451,20.842863,46.574209,18.866681,33.496038,34.568869,27.343527,32.529638,21.344299,45.034533,33.260309,38.352946,36.651132,24.775461,44.605671,34.166394,34.206092,36.760016,33.596928,21.215539,26.654955,37.181009,28.588300,36.612288,24.661796,31.834016,22.587209,22.052827,44.879646,29.998642,21.035512,22.417301,31.611159,29.615212,42.050372,28.137541,22.725460,26.322966,21.441083,33.306476,21.734910,38.429424,35.218388,39.186630,26.916346,40.921474,29.126231,25.604807,17.407843,40.329877,49.520651,27.053662,33.871095,27.379482,23.371100,58.235561,19.841146,28.681994,57.382276,22.962422,31.844066,40.821171,23.142567,25.432987,30.534532,16.897261,22.693347,24.393133,28.865557,27.425480,19.906984,29.655347,28.023505,30.724524,21.032865,21.803220,36.912772,26.768944,17.877396,44.281772,21.374678,46.421385,19.467910,33.860893,34.895404,27.825668,33.042169,22.011729,45.365041,33.360851,38.301803,36.549333,25.502696,44.443821,34.315605,34.323545,36.690509,33.753489,21.882652,26.899629,37.045143,28.821057,36.694680,24.891189,31.894290,22.959002,22.197693,45.142421,30.585815,21.421792,23.015156,31.994748,30.318068,41.854741,28.219350,23.128048,26.554629,21.958807,33.431698,22.431058,38.789655,35.528648,39.320548,27.340633,40.894389,29.464720,25.979352,18.146441,40.253749,49.284032,27.653400,33.789988,27.882600,23.737217,59.523438
"maragheh",46.266667,37.400000,42.744118,49.341191,17.937011,62.058383,34.943148,33.068633,33.821977,42.134912,44.969438,38.939701,29.789693,80.355994,65.849975,27.582910,23.304445,35.588794,47.452920,37.957223,44.461251,41.134421,30.844395,60.967404,31.673214,29.760011,53.410801,58.834780,65.947942,40.031034,55.757635,64.153613,41.169301,57.372102,50.678709,53.930924,59.176115,47.077182,45.414229,42.881073,36.990970,42.033615,39.502089,32.378001,36.484382,32.398607,36.068890,14.410822,38.617854,85.940057,40.509642,47.017298,30.192145,37.805660,64.752281,52.388741,27.466354,44.719245,4.810453,29.343443,52.187477,17.536362,41.514891,38.375790,33.261819,44.847859,41.819367,49.384727,60.296427,41.941614,45.777892,62.206774,36.710744,28.647029,40.974584,42.330199,59.727509,46.926778,17.275270,60.968396,34.501406,148.023574,49.245143,18.788984,62.233351,35.334803,33.406104,34.040592,42.206503,44.988481,39.124288,30.173183,79.721678,65.430359,28.215166,23.827682,35.916518,47.368496,38.120565,44.490505,41.299449,31.107959,60.869938,31.913909,30.058483,53.311395,58.542151,65.678598,40.147182,55.791961,63.962730,41.405545,57.282954,50.713405,53.923719,58.996887,47.056573,45.440074,43.199096,37.639340,42.210225,39.843487,32.755296,36.843996,32.753715,36.329044,15.019661,38.704243,85.127280,40.613405,47.183661,30.549014,37.910419,64.741121,52.466740,27.910709,44.716662,5.869581,29.854139,52.202620,18.195896,41.476020,38.507370,33.532490,45.091142,41.980635,49.628418,60.097868,42.148499,45.754218,61.952852,36.869034,28.911086,40.838788,42.551758,59.484796,47.100443,18.097487,60.689184,34.778184,147.735428
"mianeh",47.700000,37.450000,35.783871,26.773100,42.877431,39.122374,33.646180,32.837911,36.337305,13.459568,35.558747,29.749971,28.397820,36.547072,25.509151,20.237108,28.978974,22.318503,54.465272,36.687158,35.367811,36.887289,36.954655,28.273152,34.437404,38.702324,28.689969,68.092351,35.088103,28.932427,38.854486,53.671124,30.223014,42.403569,26.404889,39.623734,48.775236,27.068544,24.070052,44.436853,39.477649,43.657462,47.205945,42.284329,49.383279,35.317164,29.595190,36.628666,34.405949,38.275015,52.117862,40.920464,32.927811,24.640711,41.910789,29.738506,23.345200,17.854033,45.254190,37.567680,25.201632,45.053790,38.297183,25.041164,24.336239,61.587248,47.416233,37.330526,14.399629,33.922794,35.263893,37.227846,42.374775,29.324365,18.301835,32.310456,44.077309,31.320838,40.679578,47.004736,36.173587,80.319300,27.003574,43.023430,39.422923,33.890821,33.053790,36.384652,13.935143,35.710566,29.974238,28.652435,36.811149,25.815879,20.658661,29.188524,22.698219,54.306159,36.783211,35.524471,37.075386,36.995655,28.587388,34.515387,38.771018,28.920854,67.773893,35.337185,29.176207,39.048465,53.676567,30.454186,42.554911,26.912731,39.792762,48.816770,27.330120,24.387211,44.567614,39.719786,43.687437,47.249329,42.342491,49.367525,35.462725,29.861108,36.676784,34.496670,38.457089,51.970195,41.043722,33.081040,24.872564,42.104531,30.058587,23.690021,18.296904,45.280931,37.660630,25.548149,45.026987,38.391413,25.327998,24.578960,61.385465,47.301280,37.531286,14.941408,34.124395,35.363636,37.337181,42.329596,29.488733,18.590529,32.562674,44.080536,31.618273,40.808582,47.011571,36.274520,81.010717
"ardebil",48.283333,38.250000,34.236111,27.968398,42.968782,23.409231,27.388439,28.743109,36.800668,0.000000,24.403446,29.976350,32.269225,47.686832,15.171731,37.283894,27.798132,52.729586,26.128858,28.329924,41.741656,12.699832,37.192517,40.356028,20.006138,32.376893,50.225547,30.392898,8.850200,29.141769,42.777803,35.671607,30.689148,25.646001,36.895948,66.662174,52.082538,31.255362,43.912713,35.051297,49.258153,35.248764,24.013149,35.258084,44.272264,24.430638,58.551551,29.409783,15.178948,38.707751,36.283994,33.155939,24.903667,23.185680,30.505321,35.836476,46.071090,33.228832,44.699335,32.555943,32.849405,26.006469,36.243069,32.045989,30.054256,25.111192,21.052488,29.690942,31.102468,29.689497,26.625173,35.622542,61.121642,36.150417,33.680225,35.294802,37.007445,34.620922,20.399302,33.417354,23.305370,83.905194,28.590124,43.485709,24.610357,28.192044,29.544273,37.117659,1.404547,25.352675,30.723962,32.913897,48.092323,16.298951,37.651041,28.568830,52.835406,26.978903,28.975688,42.100569,13.973048,37.411148,40.714279,20.852571,33.069078,50.238215,31.109542,10.393631,29.881424,43.168339,36.395617,31.340206,26.606130,37.643395,66.468421,52.423879,31.842981,44.095442,35.712455,49.753839,35.856087,24.946571,35.920736,44.718081,25.243982,58.501621,30.084964,16.362273,39.262400,36.737488,33.741972,25.617743,23.890767,31.376576,36.415743,46.477405,33.875627,45.016030,33.039315,33.557457,26.731489,36.810114,32.658332,30.513368,26.067852,21.796184,30.743271,31.748478,30.560869,27.314056,36.136288,60.726025,36.465683,34.019137,35.726858,37.420078,35.299714,21.452150,34.055303,24.073511,85.770372
"parsabadmoghan",47.916667,39.650000,29.057576,11.363922,26.630388,7.004372,13.349034,29.639292,18.927687,10.803763,27.515728,28.380959,24.494281,36.998313,37.459604,30.111368,26.301825,24.153811,28.758768,23.848658,30.845597,53.554326,13.650063,32.615152,19.705654,25.661976,9.781939,41.781619,27.305000,21.703127,28.353704,55.408672,27.838571,59.051769,53.415291,7.268287,49.720456,37.916313,28.697978,34.686499,24.569181,23.729224,48.189788,22.769957,23.818398,28.703422,25.156813,38.898559,45.253202,49.386796,22.334409,15.933211,24.611430,30.863681,34.994390,30.202048,52.584235,7.301835,37.759560,25.632949,25.197041,15.920451,23.177898,42.236379,39.393539,30.321166,35.932319,19.642266,2.701823,23.719468,20.548673,27.285313,44.466359,15.858890,16.774027,34.098519,16.621177,29.736615,31.459880,27.818995,31.534777,34.091767,11.758834,26.989257,7.696198,13.801597,29.878186,19.227086,11.185514,27.767812,28.608559,24.811051,37.246638,37.611129,30.354499,26.549360,24.482504,28.982784,24.102082,31.052099,53.549717,13.967308,32.825963,19.969306,25.915832,10.241815,41.878733,27.643409,22.014410,28.651725,55.446360,28.090012,59.013121,53.460955,7.828112,49.813719,38.019623,28.943912,34.938982,24.997316,24.061758,48.240917,23.088983,24.163474,28.936064,25.469972,38.958071,45.264871,49.419119,22.624925,16.350116,24.852210,31.014335,35.272275,30.451022,52.600891,7.814198,37.885930,25.889319,25.504645,16.292761,23.471176,42.292762,39.429967,30.582188,36.070899,20.080663,3.277266,24.046064,20.836481,27.537386,44.475944,16.169065,17.044286,34.287602,16.997197,30.037912,31.707747,28.078052,31.696136,35.276501
